"Player ID","Player","Team","Position",PASSING_YARDS,PASSING_TOUCHDOWNS,PASSING_INTERCEPTIONS,RUSHING_YARDS,RUSHING_TOUCHDOWNS,"Fantasy Points"
"1422","Logan Woodside","TEN","QB","101.1","0.8","0.3","7.7","0.0","7.11"
"140","Colt McCoy","ARI","QB","114.4","0.5","0.5","11.2","0.0","6.70"
"113","Chase Daniel","LAC","QB","121.2","0.6","0.4","5.1","0.0","6.66"
"1530","David Blough","DET","QB","133.5","0.7","1.1","9.3","0.0","6.57"
"320","Geno Smith","SEA","QB","113.1","0.7","0.2","2.4","0.0","6.56"
"1519","Dwayne Haskins","PIT","QB","131.1","0.4","0.6","3.8","0.0","6.02"
"2164","Chris Streveler","FA","QB","97.4","0.6","0.5","6.1","0.1","5.91"
"297","Case Keenum","CLE","QB","111.8","0.7","0.6","3.2","0.0","4.59"
"1207","Josh Rosen","ATL","QB","80.9","0.5","0.5","5.9","0.0","4.53"
"229","Nick Foles","CHI","QB","120.3","0.1","0.4","0.7","0.0","4.48"
"1524","Jarrett Stidham","NE","QB","77.2","0.4","0.3","1.4","0.0","4.23"
"1886","Jake Fromm","NYG","QB","81.4","0.0","0.0","0.0","0.0","3.26"
"2333","Shane Buechele","KC","QB","57.4","0.0","0.0","0.0","0.0","2.30"
"1521","Tyree Jackson","PHI","QB","0.0","0.0","0.0","0.0","0.0","1.70"
"2113","Ben DiNucci","DAL","QB","3.9","0.0","0.0","0.3","0.0","0.19"
"1529","Easton Stick","LAC","QB","0.6","0.0","0.0","0.0","0.0","0.02"
"1898","Jake Luton","FA","QB","0.0","0.0","0.0","0.0","0.0","0.00"
"1895","James Morgan","IND","QB","0.0","0.0","0.0","0.0","0.0","0.00"
"1890","Nate Stanley","MIN","QB","0.0","0.0","0.0","0.0","0.0","0.00"
"1526","Brett Rypien","DEN","QB","0.0","0.0","0.0","0.0","0.0","0.00"
"1522","Trace McSorley","BAL","QB","0.0","0.0","0.0","0.0","0.0","0.00"
"1776","Jake Browning","CIN","QB","0.0","0.0","0.0","0.0","0.0","0.00"
"1525","Clayton Thorson","FA","QB","0.0","0.0","0.0","0.0","0.0","0.00"
"1892","Anthony Gordon","FA","QB","0.0","0.0","0.0","0.0","0.0","0.00"
"321","Matt Barkley","FA","QB","0.0","0.0","0.0","0.0","0.0","0.00"
"408","Ryan Griffin","FA","QB","0.0","0.0","0.0","0.0","0.0","0.00"
"77","Matt Moore","FA","QB","0.0","0.0","0.0","0.0","0.0","0.00"
"438","A.J. McCarron","ATL","QB","0.0","0.0","0.0","0.0","0.0","0.00"
"527","Garrett Gilbert","WAS","QB","0.0","0.0","0.0","0.0","0.0","0.00"
"947","Davis Webb","NYG","QB","0.0","0.0","0.0","0.0","0.0","0.00"
"943","DeShone Kizer","FA","QB","0.0","0.0","0.0","0.0","0.0","0.00"
"727","Jeff Driskel","HOU","QB","0.0","0.0","0.0","0.0","0.0","0.00"
"951","Nathan Peterman","FA","QB","0.0","0.0","0.0","0.0","0.0","0.00"
"686","Trevor Siemian","NO","QB","0.0","0.0","0.0","0.0","0.0","0.00"
"572","Sean Mannion","MIN","QB","0.0","0.0","0.0","0.0","0.0","0.00"
"857","Nate Sudfeld","FA","QB","0.0","0.0","0.0","0.0","0.0","0.00"
"859","Jake Rudock","FA","QB","0.0","0.0","0.0","0.0","0.0","0.00"
"946","Joshua Dobbs","PIT","QB","0.0","0.0","0.0","0.0","0.0","0.00"
"1215","Kyle Lauletta","FA","QB","0.0","0.0","0.0","0.0","0.0","0.00"
"1214","Kurt Benkert","GB","QB","0.0","0.0","0.0","0.0","0.0","0.00"
"1408","Alex McGough","SEA","QB","0.0","0.0","0.0","0.0","0.0","0.00"
"1407","Danny Etling","GB","QB","0.0","0.0","0.0","0.0","0.0","0.00"
