"Player ID","Player","Team","Position",TARGETS,RECEPTIONS,RECEIVING_YARDS,RECEIVING_TOUCHDOWNS,"Fantasy Points"
"402","Ryan Griffin","NYJ","TE","16.9","10.8","107.5","0.9","15.85"
"2041","Devin Asiasi","NE","TE","20.4","11.2","117.6","0.8","15.66"
"1595","Kaden Smith","NYG","TE","49.6","15.8","132.4","0.4","15.64"
"1979","Hunter Bryant","DET","TE","14.6","11.2","117.6","0.6","15.36"
"2420","Luke Farrell","JAC","TE","18.9","13.0","123.5","0.7","15.35"
"2198","Reggie Gilliam","BUF","TE","5.0","7.0","55.8","1.1","14.13"
"346","Vance McDonald","FA","TE","20.0","13.0","141.0","0.0","14.10"
"1973","Brycen Hopkins","LAR","TE","19.0","10.0","99.6","0.6","13.26"
"2422","Noah Gray","KC","TE","12.1","10.2","105.5","0.6","13.25"
"344","Tyler Eifert","FA","TE","17.9","12.4","125.1","0.1","13.11"
"1981","Josiah Deguara","GB","TE","26.0","8.4","92.9","0.6","12.96"
"1655","Josh Oliver","BAL","TE","23.4","8.2","88.4","0.7","12.74"
"760","Nick Vannett","NO","TE","18.7","8.1","79.6","0.7","12.16"
"2417","Tommy Tremble","CAR","TE","30.9","9.9","110.2","0.3","11.92"
"1779","Tanner Hudson","SF","TE","14.0","6.2","71.0","0.7","11.30"
"1169","Antony Auclair","HOU","TE","0.0","6.5","70.8","0.6","10.68"
"1137","Ricky Seals-Jones","WAS","TE","29.0","7.4","82.3","0.4","10.63"
"1974","Thaddeus Moss","CIN","TE","0.0","7.5","69.6","0.6","10.56"
"2279","Brandon Dillon","NYJ","TE","21.0","8.1","72.4","0.5","10.24"
"409","Demetrius Harris","ARI","TE","28.0","7.7","71.0","0.5","10.10"
"2429","John Bates","WAS","TE","11.0","8.4","82.4","0.4","9.74"
"662","MyCole Pruitt","TEN","TE","5.0","4.0","37.0","1.0","9.70"
"604","Jesse James","CHI","TE","17.4","7.4","60.3","0.6","9.63"
"714","Daniel Brown","NYJ","TE","0.0","5.4","63.1","0.5","9.32"
"2459","Sammis Reyes","WAS","TE","20.0","9.5","85.8","0.0","8.58"
"295","Derek Carrier","LV","TE","11.0","6.0","60.7","0.4","8.47"
"606","Blake Bell","KC","TE","11.3","7.6","68.5","0.3","8.36"
"1101","Eric Saubert","DEN","TE","17.0","5.8","56.7","0.4","8.07"
"1480","Johnny Mundt","LAR","TE","11.0","6.6","61.6","0.3","7.97"
"2310","Dominique Dafney","GB","TE","8.0","3.7","42.1","0.6","7.81"
"1976","Colby Parkinson","SEA","TE","9.7","4.3","46.8","0.5","7.68"
"881","Stephen Anderson","LAC","TE","14.0","5.7","63.5","0.2","7.55"
"1780","J.P. Holtz","CHI","TE","0.0","4.2","52.6","0.3","7.06"
"2089","Charlie Woerner","SF","TE","7.0","4.8","54.6","0.2","6.66"
"1753","Andrew Beck","DEN","TE","10.0","5.3","47.5","0.1","6.56"
"994","Jeremy Sprinkle","DAL","TE","0.0","4.0","41.7","0.3","5.97"
"2633","Garrett Griffin","NO","TE","0.0","3.0","36.6","0.3","5.46"
"1130","Mason Schreck","CIN","TE","0.0","3.5","36.5","0.3","5.45"
"2428","Zach Davidson","MIN","TE","11.0","5.2","46.2","0.1","5.22"
"600","Nick O'Leary","LV","TE","0.0","5.0","45.0","0.0","4.80"
"198","Luke Stocker","MIN","TE","14.0","6.4","47.3","0.0","4.73"
"205","Lee Smith","ATL","TE","8.7","3.9","31.7","0.2","4.37"
"1677","Trevon Wesco","NYJ","TE","8.0","3.5","35.4","0.1","4.15"
"2188","Ben Ellefson","MIN","TE","10.0","4.8","41.1","0.0","4.11"
"1686","Zach Gentry","PIT","TE","0.0","3.0","27.0","0.2","3.90"
"1270","Troy Fumagalli","NE","TE","0.0","2.2","23.6","0.2","3.56"
"397","Luke Willson","FA","TE","0.0","1.8","20.3","0.2","3.23"
"932","Eric Tomlinson","BAL","TE","0.0","2.0","20.2","0.2","3.22"
"717","Matt LaCosse","FA","TE","0.0","1.5","16.0","0.2","2.80"
"2194","Sean McKeon","DAL","TE","0.0","2.1","21.0","0.1","2.70"
"1132","Cethan Carter","MIA","TE","0.0","2.0","20.3","0.1","2.63"
"428","Josh Hill","FA","TE","5.0","3.3","26.0","0.0","2.60"
"2638","Jack Stoll","PHI","TE","0.0","2.0","21.0","0.0","2.10"
"1404","Jordan Thomas","DET","TE","0.0","4.0","49.0","0.0","1.90"
"1878","Jesper Horsted","CHI","TE","0.0","1.8","18.5","0.1","1.85"
"1598","Caleb Wilson","FA","TE","0.0","1.7","17.0","0.0","1.70"
"2269","Kevin Rader","PIT","TE","0.0","0.9","8.7","0.0","0.87"
"1152","Tyrone Swoopes","WAS","TE","0.0","0.8","8.7","0.0","0.87"
"1597","Isaac Nauta","FA","TE","0.0","0.8","8.2","0.0","0.82"
"1447","Jason Croom","PHI","TE","0.0","0.7","7.7","0.0","0.77"
"1429","Deon Yelder","ARI","TE","0.0","0.8","7.3","0.0","0.73"
"2230","Colin Thompson","CAR","TE","0.0","0.6","6.1","0.0","0.61"
"1977","Jared Pinkney","DET","TE","0.0","0.5","5.0","0.0","0.50"
"853","Temarrick Hemingway","FA","TE","0.0","0.2","2.0","0.0","0.20"
"1592","Alize Mack","FA","TE","0.0","0.1","1.0","0.0","0.10"
"2423","Shaun Beyer","DEN","TE","0.0","0.1","1.0","0.0","0.10"
"1801","Jaeden Graham","ATL","TE","0.0","0.0","0.0","0.0","0.00"
"2639","Nick Bowers","LV","TE","0.0","0.0","0.0","0.0","0.00"
"2184","Noah Togiai","PHI","TE","0.0","0.0","0.0","0.0","0.00"
"2158","Giovanni Ricci","CAR","TE","0.0","0.0","0.0","0.0","0.00"
"343","Jordan Reed","FA","TE","0.0","0.0","0.0","0.0","0.00"
"345","Levine Toilolo","NYG","TE","0.0","0.0","0.0","0.0","0.00"
"214","Bruce Miller","FA","TE","0.0","0.0","0.0","0.0","0.00"
"449","Kelvin Benjamin","FA","TE","0.0","0.0","0.0","0.0","0.00"
"718","James Winchester","KC","TE","0.0","0.0","0.0","0.0","0.00"
