,Cooks,Boxcox,PCA,Cutoff_Val,Model,rank_50,rank_median_50,points_rank_50,points_median_50,rank_20,rank_median_20,points_rank_20,points_median_20,test_rank_top,test_median_top,test_points_median_top,test_rank_bottom,test_median_bottom,test_points_median_bottom
0,True,True,True,0,RF,95.05596261277108,4.65883189713994,44.80711331253982,2.5484842399849024,186.93068088330915,8.823902413487554,204.45519207517282,12.150699974858806,389.50806648049434,7.148161786661574,4.2762820688842424,72.32932156554519,5.90789305610723,1.3025144007606708
0,False,True,True,0,RF,107.16131480761268,6.396242583075306,47.347711346073176,1.8470484843425037,159.33861196767333,11.626748332105768,176.4279951478183,9.98342201884978,437.8988434869594,9.241716052739724,4.21816012835243,82.13559901799925,8.249275747642537,1.2852867492371907
0,True,False,True,0,RF,90.25567887290177,4.925763023658625,41.57228113313737,2.774613995101801,202.9518924688513,9.304028697382119,188.6784551125593,10.49451052535602,426.44584300729747,10.145252740378826,4.425292960507262,79.87076028187495,9.448797474219463,1.5223458995393906
0,False,False,True,0,RF,101.71144004156844,6.029062015288528,43.56197683231257,1.8697578519644056,172.84137454132846,12.982892142331043,171.14630113691334,9.419431875943626,462.0885794845614,9.540672854025708,4.052146726572834,78.91712430204231,8.947290574401666,0.8185632809430846
0,True,True,False,0,RF,104.98431597931155,7.916355831122445,44.94912982559966,1.2183342882150798,171.23338050046075,13.143856189774723,189.86218507539306,12.004084730391998,389.91230201482836,13.205804925014776,6.108760536947818,80.42902013631894,6.607147078874357,1.338409760047194
0,False,True,False,0,RF,113.92157587586706,6.980060275007287,52.4529083251176,1.9888455312360147,143.62026542895438,8.304820237218406,167.7480218841539,12.008506839345136,494.8627493394725,14.397699868859647,5.278752196536124,82.95866820754907,8.08774751935573,1.0637188020241768
0,True,False,False,0,RF,106.53058617264439,8.387699750228016,39.44181388864391,0.859136559723213,173.41176136510404,11.982892142331043,181.518725582963,11.113828052209215,406.59184533260276,11.781559435521249,5.457022167800885,78.88353484070196,5.838525292034116,1.4752114824175835
0,False,False,False,0,RF,101.2836130057722,7.605688267128475,43.151118622716126,1.2684168709611758,150.79481957860727,10.9649927448258,170.25688765208795,8.538640168642676,435.5192238357411,10.065966782478059,4.8784238687319945,86.99639713245712,7.919257798094227,1.2304920116833165
0,True,True,True,4,RF,112.32793808844144,6.050446685407572,33.6815265436677,2.012300273914937,185.243568024019,7.321928094887362,185.42073713028182,8.337910205911308,453.0385420424676,11.836458818242207,3.24795761733792,94.34033528751526,8.480725108503941,1.2611350862775592
0,False,True,True,4,RF,111.10215366330937,6.997539594978425,28.63682965766103,1.1647163870888113,198.91257910050413,11.266874164849405,177.22977054797025,9.474210125201207,386.7746991892825,10.001333826549036,3.5528615496403364,91.3412717819204,9.4188480771093,1.0789328767831483
