,Cooks,Boxcox,PCA,Cutoff_Val,Model,rank_50,rank_median_50,points_rank_50,points_median_50,rank_20,rank_median_20,points_rank_20,points_median_20,rf_test_rank,rf_test_median,rf_test_points_median
0,True,True,True,0,RF,269.435308966436,9.881840422667374,55.15977400646254,1.9830869702968146,230.22795065243307,8.721267134069995,114.67599556432606,4.368742929597737,397.8561746340424,6.1633029561793435,2.9491145173910223
0,False,True,True,0,RF,247.07633167448708,8.837189824571706,56.577649000087234,1.6596076392909969,301.65570383513284,14.164051291115731,118.89166563671291,3.517599220999023,398.0791100348856,5.877816325163432,2.713985708235403
0,True,False,True,0,RF,263.41958615641437,9.81743496836868,50.203016370164846,1.7996694361227132,250.2866427672781,11.420936653661311,105.15232068132447,4.272656416054891,413.97368918010807,6.643856189774724,2.6400353600430577
0,False,False,True,0,RF,258.036016122398,8.89223143249537,52.36756540394604,1.5780654819803175,273.11554556346454,11.239758185723462,106.88522823746894,2.7407672891387374,391.0257789110497,5.8485150176708265,2.1843418196813342
0,True,True,False,0,RF,253.1143681954846,10.136985249406942,52.820178870181515,1.3672880060252894,182.76785430387562,10.239758185723462,98.67746718917184,3.1118636573233607,441.01920757469475,9.327207178344121,2.6827058736696037
0,False,True,False,0,RF,259.30025162023446,9.636174511385398,52.01869254650895,1.1874421267600206,184.13550084722868,9.990260095587919,100.61567956104196,3.3511836104719004,419.434886058575,7.9255418418461785,2.3694013969790886
0,True,False,False,0,RF,255.7247120028473,8.767445251255463,49.934997703609895,1.3876612564062512,214.32990724020635,7.258677600016916,98.50085762227654,3.0307174944274813,440.7661668618662,9.184178298107412,2.420077583711535
0,False,False,False,0,RF,258.30619139159364,10.006256855792113,48.472956427236454,1.2556522385157871,171.10177672984236,10.739758185723462,91.8829360845389,2.873693610367834,440.4638324788965,8.436070003771118,1.968395118741845
0,True,True,True,4,RF,234.30158441125457,10.022474650449404,40.462684036450895,1.176323865017026,266.2049433137529,14.59253006008656,97.06718216686087,3.994408997553796,295.2752510836366,7.834239335501691,3.4396705980170976
0,False,True,True,4,RF,251.7837123159497,9.247253104939729,42.445751567329566,1.2485603031907133,276.92514666361814,14.366996788663467,104.81681694829022,3.5233984410745585,252.96149067957936,5.397102787378251,3.7077887197515453
0,True,False,True,4,RF,218.27878875814713,8.13592195214594,37.70317986625669,1.0505325561690138,173.04557751054068,8.482892142331043,78.58712956525332,2.9970864950023883,276.77807103991887,5.595181781907449,3.162055752098248
0,False,False,True,4,RF,262.9712338601077,9.18710983339472,40.50021550708921,1.2849436360155475,278.67117745458165,11.665244230415805,96.16760364336531,3.189410477493963,262.46346699426175,5.301991699439448,3.0763300327269483
0,True,True,False,4,RF,260.8883328870837,9.918177680980092,42.802989398618024,1.151843525715439,203.1391074085957,10.636389002712688,99.49900736577264,3.7858798614864106,256.6747086629716,4.881878162366511,3.1726018573506813
0,False,True,False,4,RF,254.0237469157015,8.933242613978944,44.547031103254724,1.185610274964673,205.62974814246778,12.030126494790462,102.47794992808427,3.6002136098894373,246.46075260978455,4.310970638624642,3.5249095146620113
0,True,False,False,4,RF,251.11802910016604,9.512294828930031,43.06301787297939,1.3382033070807635,193.9483553516902,12.463082862861187,85.00750431439516,2.638473466267312,248.94698624737654,4.542871199147189,2.7164803639561494
0,False,False,False,4,RF,256.6309507957948,10.364236816943937,40.64458379128878,1.3158854845879955,210.01196860669955,11.9643479229229,92.32835898630815,2.927417468169407,254.24529316464316,5.271077217043445,2.8511218509816647
0,True,True,True,6,RF,228.0746576106902,9.010654919600416,34.50636209879362,1.1013498324025524,232.0882983545806,12.203626637949487,96.00961960352838,4.634202704352048,210.79274298386377,5.101644922365615,3.7699439507345707
0,False,True,True,6,RF,235.06994932813956,9.344092640666027,33.4836160844125,1.123648108867393,253.7191453837685,12.247914262938654,109.40966878192448,5.2954445183795595,188.78992679265662,6.80219322982082,3.7911988219682304
0,True,False,True,6,RF,213.86529376251764,7.3458250338524955,27.801612847067904,0.7473194335980504,266.4079046989946,11.0304526054462,89.3370936592371,3.515660389413119,196.61811091575868,5.235017217294936,3.363996331611163
0,False,False,True,6,RF,225.84860187266676,7.803620764031159,30.52326570670109,1.05773688376201,240.721516160921,6.361353116146786,95.0323410103424,3.8090569119635287,210.08709392615265,7.0,3.358312065620478
0,True,True,False,6,RF,265.3559015588513,10.463467053652508,39.103567860594524,1.2758258532896487,220.44698146011802,12.377911330161652,96.28999117379249,3.8954905657223664,210.64581044005226,6.643856189774725,3.0144803891549636
0,False,True,False,6,RF,245.57068270833452,11.011853810163103,39.190551887754225,0.9744331490317937,203.29679070793728,12.931566012642879,96.24165106719964,3.862887800729395,200.62762771938873,6.287709822868154,3.4854182318497577
0,True,False,False,6,RF,251.41166702931594,9.91577776652629,37.7648040550592,1.4229988969103466,183.50965007327426,6.87558277736859,84.78649715922685,3.045699112441479,200.14970817636433,5.7962142012980316,2.81543621768509
0,False,False,False,6,RF,254.2451590973791,9.109875239992146,36.91543265895604,1.151350731601001,195.11931759372465,9.215782367151116,86.14037997084907,3.0675170341519697,196.9518545632791,7.0,2.8111038579602106
