,Cooks,Boxcox,PCA,Cutoff_Val,Model,rank_50,rank_median_50,points_rank_50,points_median_50,rank_20,rank_median_20,points_rank_20,points_median_20,rf_test_rank,rf_test_median,rf_test_points_median
0,True,True,True,0,RF,117.0004402926894,10.521472014813929,24.42553934676386,2.156722303483612,130.08320364808836,6.880757703367383,92.24337490087952,3.8212247855331123,207.96405609631472,5.140388835753875,3.5398041276953562
0,False,True,True,0,RF,90.70646414023392,5.063129926613229,18.912747108755198,1.6664608881567062,147.36971449882634,4.714618729924908,81.31528577603572,5.481720576923445,250.4947538582583,5.101644922365615,3.096357164800727
0,True,False,True,0,RF,122.51668632523918,10.092895151135163,21.62047126202653,1.8387193419090766,113.09136278998527,4.244279293756557,68.30283139870836,4.48961458781571,216.25087464548903,4.251370768638012,2.9150042682940325
0,False,False,True,0,RF,88.02876470879573,7.736291107271915,16.224860446160303,1.5239301694821232,148.9413617095526,6.84101027115651,75.58613109035821,4.606901549381455,256.729206364594,6.287709822868154,2.754876361757934
0,True,True,False,0,RF,110.41294019557039,8.136056474407965,24.336877013005893,1.9396070745958767,71.11932797142406,2.88994261204369,72.79545613428913,4.614589357489489,253.69146103963334,5.239758185723462,3.31520374295764
0,False,True,False,0,RF,108.00405630488557,7.773250894087858,22.1119879446704,1.8068245775140386,70.18157288015756,2.8465675762539346,62.488951103913166,3.1163288793331763,252.54778456628583,4.633142040145634,2.821848078144916
0,True,False,False,0,RF,92.1876473930001,5.614579389365953,16.732148846540426,1.329487061570092,91.42974927795905,4.512604162019966,65.03610920261025,4.135362056368761,241.43124914979578,5.0,2.627320066015033
0,False,False,False,0,RF,116.95523732232259,7.754272020567225,18.205627523070035,1.477887510094849,65.07552487318621,3.3532568160582534,55.20687951521695,2.904791571411304,245.23788295761238,3.781520977582005,2.552480187406939
0,True,True,True,4,RF,131.98508823353768,9.650471494759898,12.973203910906655,0.9497304683486767,104.80178144088309,4.563696847411381,85.89754093768668,5.218754452520836,110.63857196032086,5.0,4.7475578721765865
0,False,True,True,4,RF,134.33282075508214,7.891936808903216,13.961999908779735,0.885351556776918,131.1904298070737,5.861353116146786,70.77323433323697,4.807293232669194,102.84491591022766,5.0,4.25178821951395
0,True,False,True,4,RF,130.64330489799673,9.498705199513498,13.543045372844226,0.9852535113892459,117.9506402527749,6.9600799609849044,60.1078588386585,3.37660759326368,101.48916157118991,4.19180654857877,3.837045621463601
0,False,False,True,4,RF,107.05165341078433,7.483435483588027,9.388175325787385,0.7203472081852904,133.16696522235014,8.0940626370817,64.90056897152527,3.4908604243093606,92.83656831686307,4.9828921423310435,2.8557161534599875
0,True,True,False,4,RF,114.59673226720616,5.941022291108679,10.440075102784988,0.614533038832104,71.0824404381381,5.892122512764299,67.65605252216528,3.6692173651151974,82.80158555476982,4.0,4.052466456028169
0,False,True,False,4,RF,92.15316826770014,4.6957846711114595,9.635581555889084,0.6309906729448971,103.25738375882946,8.304820237218406,65.01016989685242,3.4205122955675025,79.66529948081143,3.321928094887362,3.332234062502658
0,True,False,False,4,RF,133.9699789807992,8.733210721209847,11.154578375344236,0.7558531577123139,60.786911943921275,5.268273412406135,54.401032188798595,2.721806473478665,75.93021172534546,4.0,2.4920434658036967
0,False,False,False,4,RF,110.63655593281183,7.9885828325880155,10.97283552290336,0.4685441095782449,91.40360258385472,5.981016434752307,52.00785209193967,3.0088835261946976,78.65936488436924,4.4292374598498165,2.923452279316481
0,True,True,True,6,RF,121.81599055458898,7.919257798094227,10.354247128600706,0.6830436635017643,144.63764931139983,7.206513632116507,65.73859341463756,2.928327325371415,56.20708504170243,4.733178649819753,3.6020960345816886
0,False,True,True,6,RF,105.88272128986064,6.956989274624141,9.428586151120065,0.5446546401896958,135.0980096907846,4.615250149397728,56.343450529833376,1.9521587319181881,40.22138601109193,2.095903274289385,3.2672156912928974
0,True,False,True,6,RF,103.35453333282939,8.340783326088232,14.732642466065306,1.4372371431577586,152.710314794141,8.924985198398524,59.827565439568254,2.569518999109973,63.81771436588202,4.0,2.4650461906551557
0,False,False,True,6,RF,116.2426507242272,7.513784711145015,11.937184030257917,0.9907623189537873,128.427179381699,6.536417161040948,46.38267991217539,1.7060928537328621,59.4722782771837,2.3665893249098766,2.571905787644174
0,True,True,False,6,RF,139.20764398565885,11.614885482929543,9.61199053870724,0.6295784430403804,127.10505845122708,7.768497943762252,57.69945691463885,2.5026128150935416,55.87865369772575,3.549883987364815,3.083853504407387
0,False,True,False,6,RF,123.02982272797092,9.615339469754867,10.730481250846784,0.9700195531008748,98.46090165705068,6.693738898798892,55.08856615496947,2.5507459276807714,55.72314753320367,4.4292374598498165,2.4990241456053552
0,True,False,False,6,RF,146.44327463027548,10.938039216468454,14.039266549973055,1.0782250340409372,122.08304813189227,7.126575382548298,49.710841128851115,2.2950507900733492,59.46000904386083,3.3219280948873626,2.4232639983619273
0,False,False,False,6,RF,123.14392154013862,7.285031732555295,14.342916461601702,1.1469996604236357,109.9354315419784,6.005208027580863,53.605701633914116,2.7074955817125144,55.079404076101994,3.3219280948873626,3.4771672320142724
