,Cooks,Boxcox,PCA,Cutoff_Val,Model,rank_50,rank_median_50,points_rank_50,points_median_50,rank_20,rank_median_20,points_rank_20,points_median_20,test_rank_top,test_median_top,test_points_median_top,test_rank_bottom,test_median_bottom,test_points_median_bottom
0,True,True,True,0,RF,77.88082791218282,6.084666181436665,661.4031353202412,42.28236427852879,199.80224361273812,6.643856189774725,4232.655312002872,174.28522290079692,865.2571652131822,22.99761331648971,73.54428498262001,382.9222271249028,12.014360570380584,17.78423721977184
0,False,True,True,0,RF,81.18849221185197,6.602994406147897,754.4122058048805,64.7594885419443,165.02493349622182,4.1755734131552265,4520.948869716684,211.3385130219171,724.0952208732351,12.975691997848173,68.69078208779806,396.1739332311939,12.438171651029188,21.866245281312036
0,True,False,True,0,RF,81.86751916515786,5.737579850876837,584.2384894553054,29.950495778883344,187.25816794305123,8.032816819735281,3842.763920460588,153.85095238893962,780.0563364703773,19.293676969638156,54.362215598743106,370.13812231728855,11.398978577955297,26.74998284888609
0,False,False,True,0,RF,76.09012791902053,5.285552799614111,614.2246447305605,37.383312705728265,188.34839353808687,4.541721750811064,4201.909227672049,184.03178802180145,718.6573782314847,15.104887812268862,57.6687953577829,402.84254089272866,11.624742391896115,19.612968423048436
0,True,True,False,0,RF,87.57705257994681,6.824370013620218,493.0963117920681,20.543957422690017,231.78245483098175,15.502331109474358,4360.198674002917,252.2644091008389,825.4689809311494,11.46929099853493,53.52594861281764,367.03672388949616,12.406308561331484,26.697001650331277
0,False,True,False,0,RF,94.4925083633725,6.945673328680998,756.4899296669955,49.601504437990755,189.41904659185118,11.224533832960372,4809.620659143245,219.74897940766817,921.9394889061298,12.59391894304798,52.86945007278605,388.92972315206015,15.570827328163448,24.837970993718603
0,True,False,False,0,RF,86.72912568683161,5.835551642943239,522.0423256184823,22.041985972391352,197.34565029869077,15.212002928260425,4117.483687940195,234.22935342389013,772.6028739744006,8.880352507881685,36.39563794615765,364.20083579472345,12.862857358048066,26.01167770841987
0,False,False,False,0,RF,80.87386552433469,4.014400344626302,532.1354692110954,28.654255434396763,199.9994917265122,7.810486682400478,4209.170342074781,169.5780601245987,787.2175332362045,10.07911625460858,39.79395456007803,383.601988039923,14.433851726759517,27.222430905659834
0,True,True,True,50,RF,89.8661843207162,6.0310493633095055,516.5281729150536,28.784317290487966,280.8126410263935,13.27257500545874,4257.707206795536,209.14605057844784,872.1832353337006,20.519768974614806,53.12937769157409,323.7172403820607,11.54471948804744,24.065280305839224
0,False,True,True,50,RF,99.35021092743773,6.651493116961166,526.6981133061165,37.67505985647091,259.2447934162975,11.202181223355003,4151.208905286778,175.39835805741689,813.3760928863087,19.927658566177172,57.46375554113004,330.1043143578227,10.952551453130498,21.776439379891148
0,True,False,True,50,RF,92.48957820260574,5.632729478211049,519.9241152210394,33.90991360448322,297.78625712021864,13.27257500545874,4273.810309291024,209.3808692355616,872.2642172856499,19.561993411374225,50.06327248746316,323.5257788897799,10.952551453130498,20.32670097256601
0,False,False,True,50,RF,98.4886104797817,6.90595035206459,518.4645152381046,35.8488175686834,248.55057228039308,11.786818656485131,4068.7473591056437,173.78785901663443,805.7504959952499,20.02500286168282,57.371087490818766,336.92620791889374,10.923326275976985,22.127984782498306
0,True,True,False,50,RF,100.37508530480386,9.36641691299048,418.3725599351173,20.309945285417875,235.01026924387102,17.301445744674933,4165.454774729738,197.3016655341295,577.7556067135116,15.640481697231252,61.522379293931294,267.18412425057727,8.468360772341983,18.151377197978313
0,False,True,False,50,RF,99.35212828165758,7.8777545522309556,379.64213990899947,20.22649379775114,299.3580599614979,15.696089901417583,4323.805437509976,182.12746851229457,564.4979444951357,15.048686181335533,66.60459780415162,289.92784291273085,9.638229067038516,19.97940245118457
0,True,False,False,50,RF,105.90601400657316,9.261429534779971,427.82150313394703,22.411928711902526,230.99219612625782,17.93122653779002,4162.7881234730985,192.54993945150198,582.9020797250906,15.71784750145142,61.172161959750454,262.54725652155605,7.863477860031841,16.200240945222834
0,False,False,False,50,RF,92.48565061464171,7.202221106649695,394.2984499890806,24.634609247025967,285.0894284361229,18.26932717591621,4307.562628536814,188.0652378402278,577.6526375336672,16.808547671615212,64.30792995871386,280.80806453424407,11.019496543392536,14.255178853088205
0,True,True,True,100,RF,90.36401690035649,7.5535067335196135,275.2311933232324,18.618300508015437,374.9182716732198,25.525724795397533,4191.147217424193,192.29675329199353,1052.366710666104,16.09370443713094,46.390651752579274,266.77756441608886,11.466432469409256,14.054021168839757
0,False,True,True,100,RF,75.52859807674801,4.782907583247388,300.2839442973601,22.371718525208,156.24480404561447,8.02765018716758,3937.5910922810467,179.6277652088074,667.5544967305594,14.751100608816873,47.014132082322625,272.1051065110528,11.112250209496132,21.02125229005929
0,True,False,True,100,RF,95.64581112296331,8.086770653311033,268.2432114754419,18.754983218923314,352.5624867265109,25.525724795397533,4160.036571252002,190.6199008567276,1040.0293596746435,14.739719452073249,46.37625002025233,264.0141832693673,12.28250828378385,14.052319281391974
0,False,False,True,100,RF,70.21432102204407,5.705843398668643,277.6984398948167,22.86285967709611,179.00244100759886,7.02871471726837,3870.5435378340544,172.3969892546658,709.2249941690438,12.240688573364515,45.54920876608133,273.28146090071,11.529245039743925,17.807896951029406
0,True,True,False,100,RF,93.21766571918174,6.891108093107034,259.2357269375079,18.670858925233652,265.01556468714386,17.661444795976337,4204.226817273209,191.33661224785712,792.6301183454957,10.55139693009026,56.773810666203914,242.0622145609459,9.976462946985322,15.006443157211997
0,False,True,False,100,RF,72.69561790585487,6.9680800583696545,229.72904987034204,10.673241201474534,243.48908309516176,11.53242557711361,3923.144753254886,167.55483587816138,625.6313395125866,7.902477386558674,38.331573498921244,247.80391362974754,10.905609348779766,18.79291169913855
0,True,False,False,100,RF,93.45852095389361,7.214620777063359,248.65727229696495,17.11343582561484,273.60335948826463,18.588073204005465,4181.867351938353,187.4675831919543,788.054556680162,9.824884230857798,53.507074576501836,242.64194777624084,10.67801373300183,14.213919991114347
0,False,False,False,100,RF,77.40998799526626,7.300572651529938,221.01579850335168,11.94207421939603,231.16716189946177,10.678205404782657,3930.545466329214,158.61701051988774,639.4628901299765,8.581436783899123,35.3541889649492,250.0552887194395,11.099575418900951,19.268209442694403
0,True,True,True,150,RF,103.09840540513619,5.950546742170985,241.2241096263867,14.59109532637813,232.74773860443412,11.359638556925841,3723.9749359041452,144.851547901699,750.318957051456,28.79004348902381,88.43180039829474,410.5243555230244,11.624742391896115,14.953353912087564
0,False,True,True,150,RF,56.28698676468392,3.3999258051329706,205.21827229280473,13.391125901974366,138.31411475383052,4.280843140305412,3328.590253436364,130.04052321208115,583.1450798434522,15.986752371504782,78.17093974155074,410.1935949107956,10.588258737229614,18.770779070299366
0,True,False,True,150,RF,121.91757215905115,9.21734994420865,231.06785522663117,14.979965832777182,281.8210043575566,17.360730272183773,3683.0006606512343,140.25513435292947,766.5289747139425,26.71686142528086,84.78410000637578,414.7692734672311,11.65498894520593,14.993295414011998
0,False,False,True,150,RF,57.04245592913757,4.492049286408712,216.32855731224214,16.276622127804515,159.4446741056389,5.863078520963675,3264.825709887543,129.5862344567771,575.0147365616783,16.584665974076753,73.97213994023092,405.0563802747157,10.760967537836446,19.144935206849034
0,True,True,False,150,RF,82.47334510320367,5.694926278715634,228.2345041600892,18.28706570827275,158.6455444398712,8.858474919699633,3734.483435427092,165.79569239475856,610.8082374916106,22.046906975734927,88.38006938112879,367.0420217397551,9.831954541713214,13.689749419340206
0,False,True,False,150,RF,90.24751302199881,6.208024252996623,243.8576951325862,20.707633101032926,190.69550810387352,10.26224042731165,3433.444385472437,140.45173620529908,571.8171487271344,16.382424697630633,75.3180596880729,353.86553840303947,8.240286740948905,18.526762075769486
0,True,False,False,150,RF,85.96936392932301,7.185159739117591,224.46113188033482,15.473900301399908,167.88703098124793,9.41212960218086,3690.6571055035374,153.02299647431204,601.2810885116786,20.774102038441256,83.44651603501234,374.0426851616673,9.856773136847012,12.719313776526146
0,False,False,False,150,RF,82.57679505105439,5.312244465106655,245.60768265827556,22.229933300878784,177.40571479184115,9.920306588595471,3224.373287880955,133.38808339814162,546.3072829363763,15.183970478936153,63.06189759085298,350.31102063473344,8.799139857786322,17.56124219752271
