,Cooks,Boxcox,PCA,Cutoff_Val,Model,rank_50,rank_median_50,points_rank_50,points_median_50,rank_20,rank_median_20,points_rank_20,points_median_20,test_rank_top,test_median_top,test_points_median_top,test_rank_bottom,test_median_bottom,test_points_median_bottom
0,True,True,True,0,RF,268.6018155861899,10.00354748911052,58.19144018178418,2.189864346787943,384.74532626338265,17.388263738840536,162.33383064969925,5.985123500694078,274.5664900692572,11.740312433934921,5.697318999823926,440.1595170278911,10.479516371446923,2.7903850462171764
0,False,True,True,0,RF,247.2173773963582,7.3767443960778465,57.1878267983154,1.7353045728558412,428.7811523925849,14.056883454007739,157.73877312007164,3.5136388694356304,323.4833397661082,15.333261964222274,7.034241634243719,428.5826317755168,11.753344952840354,2.4811695937858556
0,True,False,True,0,RF,263.27034620489854,9.81743496836868,52.33338898726569,1.940530628892783,412.64797204991714,13.359637278585193,145.2025018603388,5.335716829892343,310.93742023724707,9.716070792150797,4.410495745361373,435.4258350390878,10.356317012559858,1.8267395669304922
0,False,False,True,0,RF,243.32924208086766,6.806532503669306,52.493786407943986,1.8113892058328382,394.5016745146813,11.704660116854937,140.296480249914,2.865160528978165,308.6418106635691,11.359638556925841,6.433702267731914,428.8817258355877,11.445412464587143,1.968247952421355
0,True,True,False,0,RF,253.1143681954846,10.136985249406942,52.820178870181515,1.3672880060252894,308.7415164862766,11.298062231547036,139.549959292094,5.239440287658875,291.9440619585048,15.027469286932263,5.280983676349744,431.77056377305996,10.447417735858092,1.7946430196594556
0,False,True,False,0,RF,249.08534035146334,9.761534041027453,51.637145550675136,1.422207209808674,288.0217721208913,11.667830730006424,130.29190415537246,3.8405054326547887,215.15557145066387,17.16329515691804,5.542123196094723,516.4172252591236,11.195155706879495,1.64830234025718
0,True,False,False,0,RF,258.07806044412894,11.638244458732256,49.40382449492064,1.2211750862060926,315.41646311631314,10.350369821891231,136.25507177364457,5.830260051065567,302.15145888722395,16.688433334375944,5.161913555940582,444.74166158397054,10.470034434589872,1.8069542174357038
0,False,False,False,0,RF,250.91449104585095,9.687420323267908,48.07418119747606,1.0531712443345946,280.0395725709282,10.904024504372458,125.25603146452966,3.162494027707097,259.1323263400647,12.734057697068224,5.050520726747331,478.75582323992785,11.445412464587143,1.5303113906761447
0,True,True,True,4,RF,234.9972050354802,10.352271687883214,41.29961453407556,1.1698969930420213,377.63667070784317,25.511454672673533,129.379075450564,5.721305213222555,235.71841999195658,20.023788915529064,8.1878916070392,621.8651794296784,12.438171651029188,1.957366685250123
0,False,True,True,4,RF,252.26383279858857,9.683875798758688,42.562421132494364,1.1834193376654891,410.30392068074696,26.432751348088075,144.20539708513866,6.493403290794113,235.01292520425338,22.526113786711505,9.530452569929418,614.7753561986119,13.129181187197476,2.418121318415357
0,True,False,True,4,RF,208.49520222300936,8.45002159342671,36.291440867701965,0.9823908811009774,291.9238994791338,12.642273110102149,107.36120339468776,4.122158388535201,288.639775433644,24.64298961911009,7.0385203329692185,681.5489343070129,15.022103859770626,1.9430117342705917
0,False,False,True,4,RF,262.9712338601077,9.18710983339472,40.50021550708921,1.2849436360155475,408.5120530936059,20.52856253034249,130.29655403985961,5.801142869436184,286.59081576818994,22.754069679188955,8.160631766964126,633.7095190402014,12.623326760571976,2.018484748075388
0,True,True,False,4,RF,245.63302028415185,9.734254049454524,45.212910535166095,1.116890166338437,320.6200247090403,16.609640474436812,135.2813053599786,6.481272402685953,319.88283981779983,26.89646666173965,11.695352067639144,609.6469717753408,12.069506729599727,2.32741539831499
0,False,True,False,4,RF,258.9909141975718,9.75984971134935,45.38831848803916,1.1777801936364685,336.90290617774497,13.366505239488582,139.87124373773005,6.576472109044414,327.9726467798836,21.64911963346239,12.705738386300538,570.7377179516086,11.87678522097318,2.3144800770922562
0,True,False,False,4,RF,235.34088436471416,8.479565213524008,43.621822576280636,1.3335926717606905,329.3480266799823,10.732837881269674,117.9214956862919,5.1623725711413035,303.8043476464078,27.71115608763293,8.50271811945383,582.8881559450531,12.512232848865319,2.0565530786886654
0,False,False,False,4,RF,255.18103234107178,9.449456236121712,44.492766511077036,1.421797874946899,322.0998603925157,18.93265772790081,122.17220529564621,5.1735804750325505,323.63110838938934,21.168993349567828,10.72401434346038,593.1171900333102,12.972797712407775,1.8679986802707473
0,True,True,True,6,RF,231.46590540060376,8.698196487661512,35.731060853150055,1.2245182891027144,353.68445065664474,13.292095765711956,133.5342312259706,4.893248905951438,432.2390221484516,21.933224922255317,6.3822322678411165,443.7241120009835,12.400917777462313,2.0001867104790976
0,False,True,True,6,RF,213.42494092608985,7.543196460859767,33.30486408433087,0.9620949749216606,325.46825147762803,13.25860307036778,137.26294464413462,6.290061873449584,509.22425917307504,25.695856128622733,7.7547525765366485,425.5581876490125,9.219539993900762,1.637099893331051
0,True,False,True,6,RF,210.0861365000741,7.6104484119511095,27.487654357933216,0.6470566301809622,422.47738459814707,17.427219631215117,123.68565568543771,4.731353020397368,423.88581606243287,22.93858199706986,6.363466628803289,489.89428861588834,12.623326760571976,1.7962150163671209
0,False,False,True,6,RF,208.75691492895177,8.903638108706112,31.849140981347986,0.9714092384170769,334.0095576929022,15.766255583771436,115.20090086283163,4.554319389723187,517.1859140259112,31.954159501545178,6.910786993969209,434.8658861443952,10.257125639908336,1.0857069497843579
