,Cooks,Boxcox,PCA,Cutoff_Val,Model,rank_50,rank_median_50,points_rank_50,points_median_50,rank_20,rank_median_20,points_rank_20,points_median_20,rf_test_rank,rf_test_median,rf_test_points_median
0,True,True,True,0,RF,195.4236622309073,9.217631606462145,910.5740233887891,32.04185122007032,186.6796818368276,16.384225694742014,2046.4017964876923,117.23479240549315,858.3840114024347,8.464748365979771,52.22421566819526
0,False,True,True,0,RF,209.33691915535394,8.534998914738814,1121.5066199665873,40.50578236712667,175.3644210207849,14.1969821098347,2138.871168763219,141.5016715274722,909.8856525906054,9.60325455022808,57.10663877504463
0,True,False,True,0,RF,176.65812561998027,7.477925502626676,840.1251211016704,31.64750589032844,188.02168501915128,14.116865862395855,1902.442069691218,118.43865770466262,756.3658752391452,6.3893140994275655,46.94183470607554
0,False,False,True,0,RF,198.2611655483185,7.038976714120383,902.4121179374462,30.330756293464734,181.54983796274445,14.810351228360442,1831.3133301300938,115.62900750244258,856.8231703401144,9.017068551526133,42.64233231285071
0,True,True,False,0,RF,177.84174261211288,6.732176788568567,1021.8535864901168,40.35263396667405,177.31313055170057,13.761147504705189,2032.2341449909559,119.14536160698896,904.2990757330795,10.37159316641231,55.063294466527054
0,False,True,False,0,RF,181.95590163198753,6.98906500542223,1020.1369275241469,41.30754659568879,173.88859892687913,13.474317257926621,2213.473188811209,121.66469273669787,884.5827742568526,9.91127871075455,59.99762786808707
0,True,False,False,0,RF,167.12142758837717,7.293767818328791,804.3095944644958,26.14152241374608,148.1617058381397,11.894390948517898,1660.6155000563988,88.07434153033722,908.399472779771,8.850141712643147,41.085886578608964
0,False,False,False,0,RF,181.81483573496482,7.63913626000183,824.15898733625,30.582568878687095,176.43133857463516,16.66853248098333,1717.2888055044803,96.8555558310609,868.6599853772353,9.946407235703713,44.583019573707325
0,True,True,True,50,RF,201.3647718283633,9.05686614628364,648.7857447933052,27.93293857856827,150.43383339074495,13.390811525771257,1569.8732282581893,89.90865979209376,289.49991655938993,7.56304195516401,63.176322350265764
0,False,True,True,50,RF,199.71041417858135,7.804780659011091,585.7419214894082,18.743525559405256,146.3513290064976,10.086301148405763,1747.4682446188178,102.27098277413765,322.5309284350062,6.643856189774725,67.87816541804641
0,True,False,True,50,RF,196.64790677015523,7.563402798522494,553.9077582053567,21.30439240220936,161.1084612201463,12.713195867560497,1594.4425873651444,87.21708914327434,265.73083110069575,6.529636084911307,64.59029686390937
0,False,False,True,50,RF,207.4261461995564,7.728948047285579,581.9585982150237,14.986315337522889,152.59869064481836,9.920306588595471,1470.06061892207,65.89704718255052,322.84487394908973,7.314403583627631,58.550662316690186
0,True,True,False,50,RF,198.83459108914442,7.610457716972957,632.0775716819641,23.093496865344484,156.363306958218,10.796266308383927,1692.7801330383552,83.20638384176135,271.06430973458544,4.488558587513116,76.64307606635897
0,False,True,False,50,RF,195.6489437323331,6.757990166271295,582.2756330836162,22.1288730190894,143.97049952309789,15.333975492081757,1655.2963991656018,81.88838801097097,284.52630169878273,5.589075398105026,72.07340243274021
0,True,False,False,50,RF,209.03386793518885,7.549692400682861,623.0517198391108,23.06105350039492,149.68534366991864,14.156430892271814,1495.5618451821688,69.23006975160683,255.82131621393947,4.063557546459795,61.81855641474649
0,False,False,False,50,RF,204.14407373456666,8.527551647897166,633.3002323583676,21.953399113826148,133.32551956134537,12.931566012642879,1358.671903972447,64.08168730734658,282.2104836094289,4.6920688985972445,58.84747698987822
0,True,True,True,100,RF,200.42470473968405,8.134519010417383,438.54838635617705,14.479157522892677,224.78833831483846,17.710558792006587,1646.4031475180223,70.85137256657121,156.13327250254707,4.9828921423310435,124.38761453757837
