,Cooks,Boxcox,PCA,Cutoff_Val,Model,rank_50,rank_median_50,points_50,points_median_50,rank_20,rank_median_20,points_20,points_median_50,test_mse
0,True,True,True,0,RF,425.1428534257041,6.572774132055198,214.6758766455781,5.071118343305612,192.6954702102168,6.572774132055198,141.13121583684827,5.071118343305612,198.87537398644224
0,False,True,True,0,RF,496.72851704471464,6.764252867085752,222.18110270173,3.859592078228122,277.39769560200494,8.963139327998565,145.50379180514756,3.859592078228122,194.54070912657352
0,True,False,True,0,RF,430.33447901549704,5.915995009097646,205.6467466964178,3.8762901216270116,209.2813110521618,7.195967147529366,135.75930253761607,3.8762901216270116,181.26035227438078
0,False,False,True,0,RF,447.37830858812976,6.5591836002601465,185.67577044819515,1.8247979146016449,237.65855758927495,6.68281208214931,118.18586254267501,1.8247979146016449,169.18006010537266
0,True,True,False,0,RF,439.0414634957021,6.893380358020428,202.4984725152491,3.6910689872989417,236.77598331733728,8.36083928381288,134.7806390662942,3.6910689872989417,201.54579742568774
0,False,True,False,0,RF,425.29242598233145,6.61462094985192,209.825184175083,4.0580011764954635,205.22177874657214,7.244379150980315,138.82325292766154,4.0580011764954635,205.69786809640897
0,True,False,False,0,RF,424.27015486691,6.643856189774725,177.0128801096091,2.7961442131927665,218.83003273141384,7.4318571411670025,116.92866304705798,2.7961442131927665,181.28965619411747
0,False,False,False,0,RF,423.8551895499525,5.963423569468102,170.41852901860483,3.8707197956211035,207.27096323827826,6.463919106146543,105.63285685563595,3.8707197956211035,203.16360329904896
0,True,True,True,4,RF,436.0454548920796,7.315156439458647,161.9155828234611,2.4143978928509235,199.25310718571603,7.281520977582005,118.53212693682097,2.4143978928509235,158.78794350675034
0,False,True,True,4,RF,388.9480135693182,6.1072784809021785,158.42797607061635,3.2743561227231845,186.08951586218484,7.09395497136904,118.5164420172335,3.2743561227231845,153.4198537167297
0,True,False,True,4,RF,443.8387525473254,6.21834205879504,151.07766520418073,2.338201456800297,215.66862367526443,6.21834205879504,107.10986519921688,2.338201456800297,147.9192735322065
0,False,False,True,4,RF,369.7194762404859,5.827765448855187,131.19150923482823,2.8876260389973156,151.6185069750793,6.549083526147839,91.1997977555705,2.8876260389973156,118.84541046224481
0,True,True,False,4,RF,461.49064723898795,7.54453408468844,163.15829143725549,2.650009353541123,220.49814536128366,8.572507323689088,115.90042371593991,2.650009353541123,154.23221989641135
0,False,True,False,4,RF,408.8156226551331,6.197614954856123,162.8450552588397,2.8752177386229247,199.17352721867826,7.162938366043873,127.76002285935503,2.8752177386229247,158.54390102889656
0,True,False,False,4,RF,412.43140024894944,7.448068007775385,140.96376187728782,2.76786054055402,196.6472188821202,8.408661401626635,97.79171084945106,2.76786054055402,148.8661002265411
0,False,False,False,4,RF,356.4995591861746,5.979687439093388,129.95500598572053,2.3960220451496275,157.3025019906858,6.321928094887362,97.06937239190708,2.3960220451496275,130.73903846363527
0,True,True,True,6,RF,462.7782185355673,6.840010143485669,165.66016164545,3.1548354267015357,233.23565225642767,6.769897711115769,138.906084652944,3.1548354267015357,162.5169576409845
0,False,True,True,6,RF,551.3659318476444,8.536032909921582,169.88117444637635,2.9076701776698606,286.21992625307,7.594093642977625,132.57993250757332,2.9076701776698606,166.01529549571802
0,True,False,True,6,RF,462.22144085731594,7.06201918699401,142.0090547643204,2.6744412882139765,225.6106218100618,6.406687083026442,108.21814699705439,2.6744412882139765,152.97295744150927
0,False,False,True,6,RF,520.8843643712489,8.385683257612355,146.77838467153487,2.2393898112562125,252.8841952399767,7.751067686654214,107.54392414060813,2.2393898112562125,148.05644303359404
0,True,True,False,6,RF,421.56268784983655,6.330413992221725,150.17481575738483,2.4124456501018208,186.2322617431044,6.067316784155032,117.97996954720091,2.4124456501018208,157.07002619578867
0,False,True,False,6,RF,451.1818258924747,6.210686363712934,143.8385952069251,2.9648591876850316,220.4166377472519,6.399029586229473,114.3342761273246,2.9648591876850316,160.54144504838308
0,True,False,False,6,RF,450.5944375916238,7.2509339194548,128.46495239775055,2.026008288593702,216.8949082348043,7.578179377904792,91.45447407376643,2.026008288593702,141.55659603376174
0,False,False,False,6,RF,466.3439005738745,6.713524745484093,124.88179158883055,2.639551634799681,227.0855355408228,6.68281208214931,88.32196821444595,2.639551634799681,127.7399416785282
