,Cooks,Boxcox,PCA,Cutoff_Val,Model,rank_50,rank_median_50,rank_20,rank_median_20,rf_test_rank,rf_test_median,rf_test_points_median
0,True,True,True,0,RF,60.78104868768606,4.910620516335154,158.86413186952953,6.003344127405967,265.80631997575995,6.169071693499681,75.18000413947658
0,False,True,True,0,RF,82.02293693923754,5.354548799495861,136.65526370938443,6.093500725713555,283.900571802341,6.572774132055198,91.6915545143674
0,True,False,True,0,RF,86.02671302332772,6.942010526509222,121.12663112323729,4.380757703367383,319.3945627843338,6.898619490070844,44.92353230503042
0,False,False,True,0,RF,71.77047865071965,3.9533332403304993,137.25782885087668,9.728316773236578,278.49916491799775,6.821928094887362,62.40445290609449
0,True,True,False,0,RF,86.2285935610802,7.465742810012474,165.20975441923488,9.560894740774536,340.21824190290556,6.181805975820209,46.2424050545526
0,False,True,False,0,RF,95.0055879933365,8.596627984433841,114.77827684912211,5.3086462966355565,316.5108538049114,7.434360534701831,55.62431221777929
0,True,False,False,0,RF,86.72912568683161,5.835551642943239,128.40376501319784,8.68964677986341,325.0598350516318,6.011996699559392,29.05576475768207
0,False,False,False,0,RF,84.65881227147293,6.5649955983111425,113.07283260078849,7.3211365550510745,292.51452132651355,5.895681198431569,43.1558492633087
0,True,True,True,50,RF,92.77319826875764,6.511216525397979,172.44989487824697,10.484866460931235,195.6777382822801,5.474080381696785,57.55051212564922
0,False,True,True,50,RF,100.97934560912914,7.722066370140679,144.72480838582294,6.467151392161163,162.16519940358492,3.5908468700104925,70.22054817833005
0,True,False,True,50,RF,78.52448356047762,6.289314286515246,188.7615936167299,14.445412464587143,187.89751134119692,5.140388835753875,62.14840737963491
0,False,False,True,50,RF,92.11675992883863,6.156466797959357,118.35954632669733,6.116559990056321,161.16852294127082,3.8410102711565104,78.93907567813238
0,True,True,False,50,RF,91.88994614040101,7.634700497374897,124.01631244962752,8.017114095960874,152.4930871803874,3.8552916268154065,69.48435862098789
0,False,True,False,50,RF,94.33445693694622,7.5598902461680435,179.0083046700737,11.48644023658938,131.18576040481128,4.779838621181473,65.54562054234532
0,True,False,False,50,RF,89.53016198624353,7.267519929588119,121.65879761849789,8.574188920976264,150.39173579095183,3.8552916268154065,69.83576149017412
0,False,False,False,50,RF,93.78111467845994,7.5598902461680435,175.03961069077027,11.666144762075334,144.62072875935417,5.140388835753875,66.66010185370533
0,True,True,True,100,RF,84.20427460491804,6.066024549987798,258.4270634623958,12.307792834885039,160.02205398893406,5.599822235534312,82.92429393721373
0,False,True,True,100,RF,73.11391168378167,5.254291193514118,127.73917228155706,7.8983201806952765,127.8477659153862,4.199291265356876,90.96854508839857
0,True,False,True,100,RF,77.3575390077062,5.412175577329593,275.63702455444576,12.713195867560497,165.13740946064806,6.682812082149309,88.37105318555845
0,False,False,True,100,RF,70.8051228947152,5.299487644022663,120.64697167973105,6.34101027115651,128.22218138743446,3.2249870136427625,81.99459709111736
0,True,True,False,100,RF,90.10142425152091,7.4000688936943275,212.86657208943578,12.426793629997833,144.0609810059943,4.814473711633495,87.56938706664386
0,False,True,False,100,RF,75.01885476594354,5.455471667336852,157.4455045514959,7.250266330357524,137.3631122036946,4.306942558191896,85.16556237457714
0,True,False,False,100,RF,91.64261976886084,6.893380358020428,210.06112598033366,10.14775678901075,148.32223510725618,4.814473711633495,85.54523959862738
0,False,False,False,100,RF,73.23168958417696,5.175599669575645,175.8719538789706,8.462316930641236,143.22517432203836,4.050931982038237,85.84129598404166
0,True,True,True,150,RF,102.55777063620927,7.628516442531735,133.79148045873467,9.982892142331043,105.66697120100793,3.143854911434077,102.38535357431081
0,False,True,True,150,RF,73.5989251637781,5.042905551369115,126.39739391032624,3.5142208635019347,106.28308901037654,4.801262838945638,81.22451017754547
0,True,False,True,150,RF,105.37161207565705,8.053653519395535,148.90921085449352,11.643856189774723,106.95731889115461,5.0,99.73410418780173
0,False,False,True,150,RF,74.7446290903612,4.941818504504315,83.3728441833585,3.920956830792497,109.08679018448406,5.951919076093217,78.97732703479456
0,True,True,False,150,RF,91.40934776231533,6.508487175675011,121.16412618465262,7.751165554737179,99.82342932801362,3.549883987364815,89.16601528737282
0,False,True,False,150,RF,90.24751302199881,6.208024252996623,117.83745773990564,9.129220994843198,111.56338583651143,4.0,92.63460842253791
0,True,False,False,150,RF,94.48014598033775,8.169451223118692,115.93374715069224,7.932893338231331,95.17266325457979,2.0,89.36644098663386
0,False,False,False,150,RF,84.168677814329,5.935840263507749,110.46158045522436,9.054315204870829,93.97726422547746,2.861353116146786,74.23490081873786
