,Cooks,Boxcox,PCA,Cutoff_Val,Model,rank_50,rank_median_50,points_50,points_median_50,rank_20,rank_median_20,points_20,points_median_50,test_mse
0,True,True,True,0,RF,631.7180324997826,10.223708867929046,193.50038030864084,3.537997681932531,357.76688004063084,12.06499978377034,144.412590618429,3.537997681932531,191.20627789436833
0,False,True,True,0,RF,630.4521109749393,8.343108934201204,197.06274255513935,2.6799437532569543,389.3885077505622,11.626601529981322,143.27962486414884,2.6799437532569543,184.61272402768648
0,True,False,True,0,RF,652.1237916281285,9.81743496836868,177.04450890527585,3.3345964147793037,380.0968957651975,12.120249912997055,125.390252737527,3.3345964147793037,168.9007068794654
0,False,False,True,0,RF,619.2894104613489,7.761055289497967,178.0294682380199,2.1235614823640088,377.90867244729884,9.872900225869095,129.95781461883163,2.1235614823640088,164.82028116886318
0,True,True,False,0,RF,545.1340095533387,9.794781082969052,177.81786908040468,2.822500553057198,302.46232023385426,12.583718752273256,128.24057367915296,2.822500553057198,175.00182352534748
0,False,True,False,0,RF,548.0259973598444,9.794781082969052,178.72320182048375,3.0522944311789515,304.4623724715902,12.266477753912241,130.5392052870861,3.0522944311789515,173.3597451939118
0,True,False,False,0,RF,525.3535849054972,8.447829281718,165.64792122835092,2.8211384301491385,290.55867306362126,9.742866855627465,120.53798702241973,2.8211384301491385,166.6002188579665
0,False,False,False,0,RF,539.0114148172379,8.532127770690579,165.35602456945227,2.5929581070116496,292.9313103127446,10.661741630721888,116.49924786692962,2.5929581070116496,160.8272988257989
0,True,True,True,4,RF,620.1410848724917,10.022474650449404,159.18191640658316,2.7675592432957017,378.3393305908492,13.97392769127056,117.43967814535982,2.7675592432957017,166.2463789834399
0,False,True,True,4,RF,625.5767675373502,9.10422422470302,164.64515222515706,3.0362856037231185,366.9442602585628,10.498719807374226,124.17626346043893,3.0362856037231185,179.39889023872888
0,True,False,True,4,RF,494.78469185125925,7.68790483404436,137.21240307500614,1.6998883480485891,281.2729628457163,11.34114179268019,95.26999739792544,1.6998883480485891,157.40077721466216
0,False,False,True,4,RF,653.9438122592828,9.883114876117421,156.9871742847664,2.2334369597428485,387.99556085534516,13.724333841209777,113.16626318513485,2.2334369597428485,165.55820898646112
0,True,True,False,4,RF,567.7042694970254,9.037825173098406,161.3136448007418,3.1909314313672805,316.0616541826163,11.215478671648736,120.84409625873367,3.1909314313672805,169.3251481447426
0,False,True,False,4,RF,569.5375506638449,9.119875325188449,167.6158578550864,3.4205867554218172,314.01297707498736,12.792830484496651,125.27471926676043,3.4205867554218172,174.61158649936925
0,True,False,False,4,RF,544.5297543263039,9.101461795447698,148.3428853941077,1.8721967705773253,304.69722755129055,10.575518491455009,104.77660603247377,1.8721967705773253,152.02329122121404
0,False,False,False,4,RF,572.2956325566338,10.24191246940216,154.20864736019402,2.586716310544759,325.1186178333918,12.390615985351255,111.32221746289507,2.586716310544759,155.33350590220527
0,True,True,True,6,RF,561.2532008628768,8.455844872504917,147.67105479677673,2.7090148790479094,317.3665142833396,11.136248839553147,113.58798615658708,2.7090148790479094,141.71291702121238
0,False,True,True,6,RF,558.5038114758162,7.5473884552363675,155.2248160476816,3.1169794300225684,335.6555670279197,9.659399987832856,129.13880093214854,3.1169794300225684,154.9026347502412
0,True,False,True,6,RF,606.573282687813,8.610536197573749,142.72467487689087,2.3715498835514595,357.86478529768306,10.1898627488479,102.01368651730141,2.3715498835514595,131.41759665160814
0,False,False,True,6,RF,562.3259360930382,6.720951078314307,140.6480268516767,2.3853826556232445,343.1897125231873,11.220279367120483,110.69657018323525,2.3853826556232445,132.2630569442553
0,True,True,False,6,RF,557.1700413083715,8.12736850642866,152.43967928889566,2.764582461360046,329.1234921068864,10.290170983076372,116.18996678905802,2.764582461360046,135.05546710036006
0,False,True,False,6,RF,546.950628765269,9.091638827490407,151.43703878013926,3.2063182327797675,319.9140517517841,12.831481344486823,116.97602496359467,3.2063182327797675,138.09193814434445
0,True,False,False,6,RF,529.3393278216822,8.26298275523341,143.97574428942974,2.343610326709073,311.4108091312371,11.324716330776344,106.73114519427355,2.343610326709073,114.94764669984261
0,False,False,False,6,RF,537.491155375277,8.267568340394233,139.81861298806064,2.35763401365084,319.21406860654633,11.629749524548362,104.84593901908578,2.35763401365084,118.36230222505796
