,Cooks,Boxcox,PCA,Cutoff_Val,Model,rank_50,rank_median_50,rank_20,rank_median_20,rf_test_rank,rf_test_median,rf_test_points_median
0,True,True,True,0,RF,169.34479421027046,6.6882080606084475,257.0740073726159,7.400586716023751,1267.4273038707713,11.247902316660616,54.59537144890383
0,False,True,True,0,RF,173.32304809011146,6.670283393885601,274.5971926323174,14.301662233148086,1296.8658032589553,10.604795278498685,50.399512264719014
0,True,False,True,0,RF,158.5919685839604,7.3458250338524955,198.3128707156497,5.613374441818991,1207.6368342552273,10.483755281464944,39.097802944375616
0,False,False,True,0,RF,179.4834010614561,6.607147078874357,239.73471962433206,11.219608205808534,1166.179865069002,10.998209962800763,40.42319689827603
0,True,True,False,0,RF,141.71510679312345,5.36473211692945,186.3237967279032,6.452199986157279,1242.761965902321,10.131412418180826,46.4354210223255
0,False,True,False,0,RF,172.21291192113563,6.845812882037787,197.30244803528203,8.118069461549972,1270.9506283548594,9.998724082046467,46.6312532193675
0,True,False,False,0,RF,160.4451810954372,5.714920943068945,182.3256687313727,6.5291838461532095,1216.9811984552543,8.879127623615574,38.70441711933945
0,False,False,False,0,RF,156.81392191930735,6.092864305770194,180.2687113103228,9.602092845912072,1233.570342467856,9.682334340013416,38.199974719405816
0,True,True,True,50,RF,186.53485593417844,6.810946409761145,133.71899597853033,3.321928094887362,632.183236753708,9.68398417705351,73.27644351459251
0,False,True,True,50,RF,153.50413780680975,4.685272859221561,149.31866789990363,7.4358845856542555,603.5548578226669,10.365143042524323,75.34096668932003
0,True,False,True,50,RF,188.56775906072448,4.648303893391615,166.04368006605606,10.440119941477356,675.1157735928616,11.173827896600205,68.47777476250795
0,False,False,True,50,RF,161.52824434114194,6.8923201652797434,157.56073069034215,10.382231181513678,589.8156970650042,9.370039500550714,60.42726984869116
0,True,True,False,50,RF,158.49280679901284,5.300361661714584,170.7455029709048,6.573627009608119,614.5884017158355,10.840442105822953,64.89039452017506
0,False,True,False,50,RF,147.41766913216384,4.125526068111044,180.60997493008776,5.936913545445895,607.9378383959872,9.299397627477054,61.7477097022218
0,True,False,False,50,RF,153.45157109924315,6.2846654772834505,174.60972775029038,7.0531596647255554,615.5514131169673,10.825388795069639,64.04670237899782
0,False,False,False,50,RF,150.40322421826193,4.638839426233057,182.01920558469507,7.652913661482126,637.8009123572803,11.626748332105768,54.1218138738091
0,True,True,True,100,RF,178.07936393348223,6.915326730775828,192.41355473282388,10.935885863994903,426.32920823349156,9.709555506861156,74.38574694721306
0,False,True,True,100,RF,173.12070123904527,7.118514427762747,215.7132460731807,12.831768653457384,386.66992201312644,9.64129001958833,72.1664719788715
0,True,False,True,100,RF,177.92175508578265,7.687551456989892,176.29514391001754,15.154270966595803,395.2530590093602,10.380286134738352,61.68521956370428
0,False,False,True,100,RF,184.5975697939044,5.596863336967285,219.5961850111911,7.966985526050129,400.7102515083357,9.824884230857798,63.34009194817094
0,True,True,False,100,RF,154.36049551431702,5.435303879996596,161.05507950919718,5.338467830283072,377.044918772635,10.364463762987217,69.18269246590475
0,False,True,False,100,RF,140.61045724671797,4.710740685848902,167.86427272510005,6.795826784759694,366.85509464791176,9.452256573664892,70.4279694796864
0,True,False,False,100,RF,159.35532728853207,5.616660634256743,165.52717878600913,5.242433230465618,376.21512304713286,9.902189173666272,61.41193463100943
0,False,False,False,100,RF,152.95585896342914,5.598393306995178,153.72078297067222,6.989758824893785,359.80443536626905,9.471907519778718,58.1969170382102
0,True,True,True,150,RF,211.70815659388973,9.71076182749254,234.1677368154357,15.934085035437212,176.25959761721046,6.465783006321439,95.44878864061394
0,False,True,True,150,RF,190.52292544557974,5.915113159568832,245.1865753900137,13.969730365181174,143.57786401907424,3.8586428403314246,74.50187703319563
0,True,False,True,150,RF,198.13588015496418,7.5424670455483955,248.52983905619095,15.745749153882608,169.46718829033546,4.991446071165521,82.89056290784092
0,False,False,True,150,RF,210.2162860255106,8.247725178777992,255.8552949618331,13.533453615964394,161.33749331861682,4.936450112934548,67.32029222522448
0,True,True,False,150,RF,207.1380139082474,7.14365117883618,197.22324454867402,5.454391462894865,168.0227734834927,4.455028707748852,86.28181756709687
0,False,True,False,150,RF,163.5612725617543,5.670725227699595,184.2868393385953,6.197614954856123,132.73819936030355,3.5269561634658904,81.82885795956298
0,True,False,False,150,RF,178.44851347007545,6.547223791257881,206.05179853244064,6.938645163698542,160.66150638041222,3.4563874824489274,73.57060094170862
0,False,False,False,150,RF,164.06826132772025,6.720546306617559,185.02838730804356,4.392450602329875,150.75929654771647,4.789038426797254,70.7586418011388
