,Cooks,Boxcox,PCA,Cutoff_Val,Model,rank_50,rank_median_50,points_50,points_median_50,rank_20,rank_median_20,points_20,points_median_50,test_mse
0,True,True,True,0,RF,463.75962680034127,7.26094606796639,142.57980021752883,3.7026263251065235,133.67194055490563,6.123957131469327,93.00855046211237,3.7026263251065235,138.0723845692241
0,False,True,True,0,RF,465.62368549067975,6.259209238725976,124.761920414788,5.481720576923445,147.36971449882634,4.714618729924908,81.31528577603572,5.481720576923445,139.90073136985086
0,True,False,True,0,RF,424.7950109346103,6.839785067827737,118.00783157458966,4.48961458781571,113.09136278998527,4.244279293756557,68.30283139870836,4.48961458781571,122.44854621267599
0,False,False,True,0,RF,436.7177826768103,6.391832732339318,115.25833678359842,3.853970544609093,118.92212093761287,4.714618729924908,69.38776641498109,3.853970544609093,130.9239944167763
0,True,True,False,0,RF,386.72438050447727,6.540950350552496,115.7391558422738,4.208383253634462,69.81522797179417,3.2749419936824076,71.13958832832132,4.208383253634462,142.36085764425053
0,False,True,False,0,RF,369.91794627270934,5.65974213251769,104.7644740494553,3.2256799803787954,94.71273187137979,4.268273412406135,67.36420758448656,3.2256799803787954,131.67146249271954
0,True,False,False,0,RF,385.7522459673161,6.399065786859864,96.66344321062121,3.5868291039966635,100.87341503207041,6.898619490070844,58.548201295006955,3.5868291039966635,126.29575532728825
0,False,False,False,0,RF,383.1305038391335,5.965955867472518,94.09116489642511,3.0039005289683702,66.82041184684944,3.8532568160582534,54.9486610225251,3.0039005289683702,122.42036520062003
0,True,True,True,4,RF,435.60217081770037,6.786059077554638,120.22070072749186,5.218754452520836,104.80178144088309,4.563696847411381,85.89754093768668,5.218754452520836,124.61271473396691
0,False,True,True,4,RF,465.4516253230687,6.746307539990974,109.66774315581999,4.77481106386492,146.49652429852446,8.916473312274693,74.3519463634002,4.77481106386492,89.70597759914973
0,True,False,True,4,RF,473.5052403218336,7.69840056101661,110.28057312667889,3.549864636464633,135.99526002878915,8.032816819735281,63.62084950306397,3.549864636464633,99.39275192182909
0,False,False,True,4,RF,444.33900640692855,7.018085779075762,106.45777636764066,3.4908604243093606,133.16696522235014,8.0940626370817,64.90056897152527,3.4908604243093606,75.71393033517288
0,True,True,False,4,RF,363.6194782463658,6.643856189774724,101.96727296448975,3.6692173651151974,71.0824404381381,5.892122512764299,67.65605252216528,3.6692173651151974,91.71790310830978
0,False,True,False,4,RF,388.61416417201906,6.648784112593141,102.13730511938084,3.7087985010404685,69.37363068865581,5.134862737316012,65.90528647133345,3.7087985010404685,79.28066225982444
0,True,False,False,4,RF,374.969886261336,6.593906280974913,91.5671907935148,3.203567529676004,94.94248780927887,4.714618729924908,54.663117073947255,3.203567529676004,72.0426542192808
0,False,False,False,4,RF,384.9511442458285,5.928071523608715,96.40046303560366,3.0088835261946976,91.40360258385472,5.981016434752307,52.00785209193967,3.0088835261946976,60.658101379653694
0,True,True,True,6,RF,462.1447046296525,8.27595821054096,124.24478344388153,2.9459479165054745,136.17491319207502,6.743199428101944,66.06855941229303,2.9459479165054745,61.81701259272121
0,False,True,True,6,RF,447.8562309398224,7.497229838577303,124.27360225914518,2.2057614717024423,125.77357098589978,4.581208054834785,58.107339532857694,2.2057614717024423,62.264383139247386
0,True,False,True,6,RF,436.77816637517634,6.906807060773467,128.62198069703484,2.4773962641412712,136.7854823081875,5.768273412406135,58.258484708586415,2.4773962641412712,53.25139851423729
0,False,False,True,6,RF,369.68607308711654,5.801590142127413,126.34090807610929,1.8790666182953766,92.28218717220349,6.355291626815406,45.90380660129309,1.8790666182953766,52.56079823789638
0,True,True,False,6,RF,509.9574174077886,8.609803754326801,117.92018887555284,2.6433212338518173,115.4378928325548,6.898619490070844,56.81147062150344,2.6433212338518173,60.698414649102965
0,False,True,False,6,RF,376.60349154892646,5.934196194183954,114.92103065540356,2.2037469131628424,84.73896009219068,5.012552706162693,52.838072985620904,2.2037469131628424,51.229341472233685
0,True,False,False,6,RF,422.84363445369524,6.253397824191374,119.53437329451579,2.1461618475149713,99.43368422113122,5.4582366561373465,48.09032532314422,2.1461618475149713,48.03271955591084
0,False,False,False,6,RF,404.4502148150628,6.541006083464191,119.09858813262946,2.072675700068247,103.61456365592258,5.134862737316012,46.64066943097837,2.072675700068247,49.65913330013886
