,Cooks,Boxcox,PCA,Cutoff_Val,Model,rank_50,rank_median_50,points_50,points_median_50,rank_20,rank_median_20,points_20,points_median_50,test_mse
0,True,True,True,0,RF,410.23138933962804,6.5591836002601465,262.508949262892,9.802676703599557,120.91824706300073,6.534671117233534,141.17618667725802,9.802676703599557,141.44168060031217
0,False,True,True,0,RF,374.2951847801925,6.448480021515078,248.25838891087798,8.982338769347184,112.65013528427548,6.465783006321439,126.48008722808744,8.982338769347184,141.4135563061118
0,True,False,True,0,RF,414.63074907492376,6.643856189774724,249.91381458941945,9.663253761710443,125.84599016743188,7.643064649938437,130.96424594699914,9.663253761710443,135.4189611293274
0,False,False,True,0,RF,391.80324638388356,7.096036511574798,237.87284692465326,9.148160784279789,115.68078851914193,8.047098175394176,123.84218902372274,9.148160784279789,134.3876457430577
0,True,True,False,0,RF,371.7537819181138,5.872620355080999,243.56278088507977,8.76479358384183,107.89122018426944,6.68281208214931,127.66344829898294,8.76479358384183,141.50692338233927
0,False,True,False,0,RF,350.18948345761487,5.243957613690677,246.21290988546735,8.78997343652848,96.06749661522817,4.789038426797254,123.6945765392502,8.78997343652848,145.25297564488415
0,True,False,False,0,RF,378.63599330530974,6.106784298090625,229.79506737883287,8.193857170797333,118.4175870944672,7.643064649938437,122.91332035750789,8.193857170797333,137.62350065829094
0,False,False,False,0,RF,374.03724746117814,7.058180892718803,232.3382581477237,8.424111409415065,93.77587574199887,5.813374166052885,120.40784315557005,8.424111409415065,134.4608983727928
0,True,True,True,4,RF,428.1686061410114,6.529948360337341,235.8241477602078,8.142437200359575,122.88629713338997,5.910264423665316,141.12053267763633,8.142437200359575,109.6557673214811
0,False,True,True,4,RF,459.1138895976919,7.410917356176559,222.88488443233044,8.979927713456423,158.3109160915963,10.6260284907392,127.3413567212136,8.979927713456423,97.83771362897846
0,True,False,True,4,RF,419.67319563674704,6.286788525153227,233.21460368417422,7.8820753954811025,121.2695163893301,5.4582366561373465,138.6063471732311,7.8820753954811025,110.78579580858208
0,False,False,True,4,RF,463.82372224369226,7.129835733577519,223.07011609239348,8.754302994270564,160.53624854200183,11.546671444518918,127.16121866998688,8.754302994270564,98.56628783221116
0,True,True,False,4,RF,374.7101212544797,6.457494489750524,207.72776359432896,7.374065846402049,93.39641853420619,4.767220744382696,109.78213540600922,7.374065846402049,98.6338966364261
0,False,True,False,4,RF,398.249265803988,6.723024709797773,215.1367977963469,8.501330891419968,102.88349325105898,5.83899435950473,117.1428331489582,8.501330891419968,96.14037377869786
0,True,False,False,4,RF,384.6322208876189,6.687140249950897,208.119681023905,7.70849244399284,100.80716990170393,6.361353116146786,110.5689168604877,7.70849244399284,97.68808205158737
0,False,False,False,4,RF,385.65157264412244,6.982963915564632,213.82279248263765,8.308500376251056,92.9009930457547,5.242433230465618,114.31459546607535,8.308500376251056,93.33320486684146
0,True,True,True,6,RF,502.6600195615415,7.813261921035508,218.30401003130996,7.852747059875867,214.76949184178977,10.252292591808924,120.2896574366434,7.852747059875867,114.58826429329037
0,False,True,True,6,RF,440.11793638527183,6.355292971555572,224.81861182482504,7.930893540299579,151.31234862518846,6.8805737523525945,129.3744614614677,7.930893540299579,112.41211505030971
0,True,False,True,6,RF,497.0579681549572,7.350310791967454,218.4288432934955,7.961125931950509,213.35650362380224,10.77626841038127,120.55377668759303,7.961125931950509,112.4952973217923
0,False,False,True,6,RF,475.5288211187906,7.510939664207627,228.33928912122119,8.062085333642173,182.3788629554418,10.077803282018301,133.60509188512233,8.062085333642173,113.97739322267552
0,True,True,False,6,RF,459.8851755553086,8.286406241406944,221.5532030781927,7.974974210419183,157.59367340597095,9.229444120484606,121.1395981000513,7.974974210419183,108.26726891083855
0,False,True,False,6,RF,416.4760942160085,8.198807597373886,223.2035809386768,8.19977408428432,121.1146656873887,6.463919106146543,123.61730678491655,8.19977408428432,114.02988590411573
0,True,False,False,6,RF,463.89545683774963,8.261674689066737,221.98952787425148,7.996531712465485,156.79962109438858,10.26224042731165,121.64363137961425,7.996531712465485,108.79577328505704
0,False,False,False,6,RF,423.03060430017825,7.912567905597008,224.08936283416782,8.282553325167559,125.43512257187972,6.912774964897855,124.32556899624593,8.282553325167559,113.1025224010566
