,Cooks,Boxcox,PCA,Cutoff_Val,Model,rank_50,rank_median_50,rank_20,rank_median_20,xgb_rank_test_rank,xgb_rank_test_median,xgb_rank_test_points_median
0,True,True,True,0,XGBR,173.53829528317374,7.4602802375519905,167.6016097084492,10.271496027736225,291.71596337867646,5.528076289346306,7.326505742729661
0,False,True,True,0,XGBR,179.2168554766534,6.014952067464231,231.00202787764385,11.29507777612503,310.5894137357114,5.722706232293572,7.213902262872559
0,True,False,True,0,XGBR,193.51987504046795,7.973614961957499,171.26229035080843,10.172569628702446,315.35558458092976,5.7962142012980316,9.243831746944911
0,False,False,True,0,XGBR,179.2168554766534,6.014952067464231,231.00202787764385,11.29507777612503,310.5894137357114,5.722706232293572,8.759917786841203
0,True,True,False,0,XGBR,178.3191739570971,6.21358210730765,186.65265939476888,15.432729649869085,300.7453341941494,6.283982022518362,7.199820979515462
0,False,True,False,0,XGBR,173.86178925586944,6.560961901188295,190.87453892614369,16.988858273428388,369.8990771419857,7.068034649161578,6.946002204177841
0,True,False,False,0,XGBR,189.20055145636616,7.1786791485126,207.07622587217583,15.52176624159573,320.7696957608116,6.287709822868154,8.544753858696415
0,False,False,False,0,XGBR,173.86178925586944,6.560961901188295,190.87453892614369,16.988858273428388,369.8990771419857,7.068034649161578,8.634909209043204
0,True,True,True,4,XGBR,146.78533733137454,6.214158798950255,154.12730754758707,11.389317420834722,130.38679495401144,4.785588040502849,10.148996570945753
0,False,True,True,4,XGBR,169.65713696631386,5.849216231811228,163.55867497614202,12.704749652208614,113.74411912732502,4.235878719248838,9.259232753818779
0,True,False,True,4,XGBR,159.7065576777457,6.428347716406712,178.97986013165436,7.8211365550510745,166.2658124616379,5.451716791728571,12.803474650027663
0,False,False,True,4,XGBR,169.65713696631386,5.849216231811228,163.55867497614202,12.704749652208614,113.74411912732502,4.235878719248838,12.52449849008929
0,True,True,False,4,XGBR,183.34673763171162,7.532019555958717,184.78246660456304,10.163292600236744,136.68512617216973,5.08519921218328,12.22743768858623
0,False,True,False,4,XGBR,155.64974745028462,5.224735117854182,161.55893998053742,7.9119834250615675,132.39064280630444,5.254291193514118,11.512735656470573
0,True,False,False,4,XGBR,182.27404602440112,8.769443072290587,195.29440394102434,10.128720094024665,145.46754466515605,5.850425937308659,12.728176239374172
0,False,False,False,4,XGBR,155.64974745028462,5.224735117854182,161.55893998053742,7.9119834250615675,132.39064280630444,5.254291193514118,12.679839900878486
0,True,True,True,6,XGBR,175.79891461410074,4.535652069181755,292.5716467922373,10.519438967143314,126.06109044668683,7.148161786661573,
0,False,True,True,6,XGBR,215.64617110561647,7.671103685028921,290.89629948608155,12.771621224697686,115.88635785676837,6.937575382445429,
0,True,False,True,6,XGBR,181.69572815204413,7.591562326515646,268.16205815775,13.841367062030677,106.73934414384912,6.821928094887363,16.87100078701925
0,False,False,True,6,XGBR,194.7347569512364,8.809371889078733,311.85550367746066,9.431564734302231,122.12771886285637,6.082292941176014,16.61013422770062
0,True,True,False,6,XGBR,200.96949416065388,5.862726343050156,265.6911994401615,13.67795783914727,86.5834535876492,4.492274709228883,
0,False,True,False,6,XGBR,219.52188845614202,7.695600481128115,414.0362177086532,26.36960971651446,91.25248746040116,4.241918111399475,
0,True,False,False,6,XGBR,203.76789915747372,8.572173386920518,226.1661832090019,13.366505239488582,90.47420180553291,3.780902629465957,17.180462279706312
0,False,False,False,6,XGBR,180.91567638637878,5.9681393782353265,209.1796074323098,10.21641916338023,116.61520575413071,6.141991011259181,16.739778075105527
