,Cooks,Boxcox,PCA,Cutoff_Val,Model,rank_50,rank_median_50,rank_20,rank_median_20,xgb_rank_test_rank,xgb_rank_test_median,xgb_rank_test_points_median
0,True,True,True,0,XGBR,190.3971010913545,8.328976047659227,122.33552580288509,7.547523903273017,874.8939415528096,7.786258329152853,121.70745810667614
0,False,True,True,0,XGBR,195.13504770904723,8.12601916582991,176.7482324301827,12.090101895972325,963.8747419195929,9.17096721324404,122.16037764631781
0,True,False,True,0,XGBR,191.35169287950106,8.401465587753508,183.51658085028475,14.996988047874773,952.9649760316354,9.622083629934512,123.02390594395081
0,False,False,True,0,XGBR,186.14829393458666,7.587179759740602,156.18849015486293,12.269336296426996,927.6733135701534,9.715926642186508,123.18325815387183
0,True,True,False,0,XGBR,174.63047750956792,6.024408632903295,159.01271084164964,13.099395464308653,964.1697923809536,10.601447821725198,121.91082647525926
0,False,True,False,0,XGBR,166.74931359585725,7.146702874825444,186.37534302135194,14.996988047874773,933.2469913183315,9.696717066145144,121.96356569051706
0,True,False,False,0,XGBR,172.06282597440236,7.527097304683185,193.7135484902624,13.151976833276885,963.2773220081244,9.287423161950638,123.19285503531631
0,False,False,False,0,XGBR,166.74931359585725,7.146702874825444,186.37534302135194,14.996988047874773,933.2469913183315,9.696717066145144,123.2489493108026
0,True,True,True,50,XGBR,200.24183229489228,8.13592195214594,153.93619013775836,13.82554992979571,293.36290569024214,6.529636084911307,184.48786555412516
0,False,True,True,50,XGBR,221.62881105559504,8.685889083874308,139.33751181385148,12.649311193544365,344.74849185327474,7.97262742772967,185.15520506195134
0,True,False,True,50,XGBR,206.69597859576385,8.16146319244242,151.0847420336192,13.257275653719674,268.8060397183374,5.782937440223109,185.9412136690507
0,False,False,True,50,XGBR,221.62881105559504,8.685889083874308,139.33751181385148,12.649311193544365,344.74849185327474,7.97262742772967,186.0872189778881
0,True,True,False,50,XGBR,189.1222990382667,6.804042869047391,120.42477142685846,7.463459413479647,267.5918957071906,5.140388835753875,184.4828139843956
0,False,True,False,50,XGBR,176.03358593225784,6.633161329860425,136.6851515462679,10.579739497088333,278.09028441613276,4.9828921423310435,184.34059031451636
0,True,False,False,50,XGBR,192.4145466412523,6.447562831290215,135.30060795231836,10.222650328054506,267.2074651525712,6.050433564131208,185.97634961675539
0,False,False,False,50,XGBR,176.03358593225784,6.633161329860425,136.6851515462679,10.579739497088333,278.09028441613276,4.9828921423310435,185.73608020637255
0,True,True,True,100,XGBR,219.21359090947192,8.368372477628792,223.6443876692248,7.206513632116507,251.62909534925805,6.486398856203888,
0,False,True,True,100,XGBR,209.4290852641376,8.979534817316402,216.7731264859055,12.874828892528855,253.22260718925705,7.343611355735556,
0,True,False,True,100,XGBR,198.58882599377245,7.948953963237379,178.9043490283366,16.609640474436812,178.27646010865615,7.852525825942403,282.03917840115156
0,False,False,True,100,XGBR,203.2154351335918,8.796516291094687,225.18913083700772,13.103569975367545,247.78435320151328,6.609250220162001,281.5846199498907
0,True,True,False,100,XGBR,228.84694297041196,6.518388905881245,163.1554098891664,8.361634384709841,189.63399822563767,5.5365468248122705,
0,False,True,False,100,XGBR,209.52816612281072,6.944561970698632,154.35925733133584,9.534441488765392,197.46609766460907,5.7962142012980316,
0,True,False,False,100,XGBR,212.51073897032543,8.392772672861174,194.4156943300283,11.527468008591615,172.93441709177466,5.294129368614807,282.0550151546833
0,False,False,False,100,XGBR,181.5018569192772,7.448000530751467,182.47198618207278,11.67798871900946,182.9781125839086,6.287709822868154,282.19720225594654
0,True,True,True,150,XGBR,287.7552265791423,11.631108662915365,322.47642828585634,26.463409665153222,58.202201778234326,2.613971220528331,
0,False,True,True,150,XGBR,231.35483818115506,9.58542441447758,492.9207395850539,36.64966443867828,73.68924691924713,4.360633567034998,
0,True,False,True,150,XGBR,204.9217263156,7.190837253690457,177.37430062458156,12.160111864033812,82.2345811419157,3.7749419936824076,318.1024031675452
0,False,False,True,150,XGBR,200.04279180360575,7.531013768245565,156.27286675859753,11.073093649624543,116.93204246838144,6.360965882514293,317.1533323715579
0,True,True,False,150,XGBR,271.78404806326216,10.34585016121316,459.62767034630326,33.40654553266077,46.325681845245214,2.7089156845883737,
0,False,True,False,150,XGBR,304.96152687327736,11.85614304721743,410.8058164482045,30.719274557170387,64.60616118991906,4.581208054834785,
0,True,False,False,150,XGBR,201.0701505070682,8.43220076598647,200.77151137742862,10.411338062344573,95.49449433497654,5.6946773726168844,318.00588220798846
0,False,False,False,150,XGBR,196.4988911977676,4.549749882618251,162.96812579342273,7.718222713775766,98.24562977686656,5.251810917454174,317.88999477469713
