,Cooks,Boxcox,PCA,Cutoff_Val,Model,rank_50,rank_median_50,rank_20,rank_median_20,rf_test_rank,rf_test_median,rf_test_points_median
0,True,True,True,0,RF,270.21284967155316,9.81743496836868,221.16347708312523,9.199174501835646,393.5367177421542,6.23758884515546,2.975740510375691
0,False,True,True,0,RF,247.07633167448708,8.837189824571706,301.65570383513284,14.164051291115731,398.0791100348856,5.877816325163432,2.713985708235403
0,True,False,True,0,RF,257.5171568943259,9.761534041027453,264.6968687267512,13.243584297660462,403.43681977970834,6.747709558922507,2.4946128984106375
0,False,False,True,0,RF,258.036016122398,8.89223143249537,273.11554556346454,11.239758185723462,391.0257789110497,5.8485150176708265,2.1843418196813342
0,True,True,False,0,RF,252.2770880493681,9.761534041027453,175.83969126615847,7.988558587513116,460.16414746162263,8.820527168973378,2.436621490736306
0,False,True,False,0,RF,244.82011574879758,9.933132906483696,192.18964173050801,9.41212960218086,427.3437549064932,9.150699332842308,2.5742685503966007
0,True,False,False,0,RF,254.4536681826304,11.184884454213282,181.88899851524675,8.343850214328523,434.16821300580466,8.91499770134812,2.3556037792524496
0,False,False,False,0,RF,251.7625860348848,9.672988961204965,189.90688571884283,9.204377554818693,425.205476761671,8.95176248988978,2.3443252301227315
0,True,True,True,4,RF,234.30158441125457,10.022474650449404,266.2049433137529,14.59253006008656,295.2752510836366,7.834239335501691,3.4396705980170976
0,False,True,True,4,RF,252.26383279858857,9.683875798758688,270.8773330817583,13.65165850962677,248.9089998816654,4.964990894479172,3.6765436639892872
0,True,False,True,4,RF,227.27540812894597,8.536032909921582,207.83593949723678,15.105381071681432,288.5673845505407,8.312083193949409,3.0310959478660005
0,False,False,True,4,RF,264.304076065984,9.180293949929677,292.5249787962522,13.998293076498967,268.6036323532533,5.173558677743239,3.377763017049176
0,True,True,False,4,RF,243.9558783332837,10.411981554692328,186.04610496181382,9.920306588595471,239.60605662840004,5.070194417876937,3.3853653461235
0,False,True,False,4,RF,254.0237469157015,8.933242613978944,205.62974814246778,12.030126494790462,246.46075260978455,4.310970638624642,3.5249095146620113
0,True,False,False,4,RF,251.11802910016604,9.512294828930031,193.9483553516902,12.463082862861187,248.94698624737654,4.542871199147189,2.7164803639561494
0,False,False,False,4,RF,264.8070159396214,10.325093388316319,194.3630618892437,9.678299979235916,254.57834815006606,5.184581223673391,2.729363754464167
0,True,True,True,6,RF,226.0820699415625,8.077454726286991,257.7365186472725,12.251418677383153,202.8106870737441,5.5365468248122705,3.7084507249520553
0,False,True,True,6,RF,230.06266686362653,8.19828236240071,230.61720294217935,8.508724817514224,191.9345016181535,6.256091864796326,3.7875750633245215
0,True,False,True,6,RF,224.8438804290662,7.940179162954612,266.51856273234955,13.244043683426035,171.80848638736717,4.4292374598498165,3.691739140307345
0,False,False,True,6,RF,231.10274238010348,7.803620764031159,220.96795323030454,4.340182568045943,206.15052759221086,6.148974294721926,3.5571402921595614
0,True,True,False,6,RF,249.90709652143582,10.235799800185028,207.92696613086727,10.287709822868154,195.49535524156232,5.071687426135777,3.1126398152605006
0,False,True,False,6,RF,245.57068270833452,11.011853810163103,203.29679070793728,12.931566012642879,200.62762771938873,6.287709822868154,3.4854182318497577
0,True,False,False,6,RF,255.81838713488492,9.893268678145045,182.74038495558807,8.599065295980887,198.1370245693062,5.474080381696785,2.865539961497674
0,False,False,False,6,RF,254.2451590973791,9.109875239992146,195.11931759372465,9.215782367151116,196.9518545632791,7.0,2.8111038579602106
